Date,Open,High,Low,Close,Adj Close,Volume
2007-09-18,10.450000,10.450000,10.450000,10.450000,8.344547,0
2007-09-19,10.800000,10.800000,10.800000,10.800000,8.624030,1000
2007-09-20,10.350000,10.750000,10.350000,10.350000,8.264695,2200
2007-09-21,10.750000,10.750000,10.750000,10.750000,8.584105,500
2007-09-24,10.750000,10.750000,10.750000,10.750000,8.584105,0
2007-09-25,10.650000,10.650000,10.650000,10.650000,8.504252,800
2007-09-26,10.650000,10.650000,10.650000,10.650000,8.504252,0
2007-09-27,11.500000,11.500000,11.500000,11.500000,9.182996,2400
2007-09-28,12.350000,12.350000,11.750000,12.350000,9.861739,48200
2007-10-01,11.950000,11.950000,11.880000,11.950000,9.542330,2200
2007-10-02,11.750000,11.820000,11.730000,11.750000,9.382627,4300
2007-10-03,11.850000,11.850000,11.750000,11.850000,9.462479,3100
2007-10-04,11.850000,11.850000,11.700000,11.850000,9.462479,2400
2007-10-05,12.050000,12.050000,12.050000,12.050000,9.622183,5200
2007-10-08,12.250000,12.350000,12.100000,12.250000,9.781887,8100
2007-10-09,12.150000,12.400000,11.850000,12.150000,9.702034,7300
2007-10-10,11.900000,12.250000,11.800000,11.900000,9.502403,8900
2007-10-11,12.250000,12.250000,11.800000,12.250000,9.781887,12200
2007-10-12,12.250000,12.250000,12.000000,12.250000,9.781887,2300
2007-10-15,11.500000,11.800000,11.500000,11.500000,9.182996,65000
2007-10-16,11.700000,11.750000,11.700000,11.700000,9.342699,1900
2007-10-17,11.500000,11.700000,11.500000,11.500000,9.182996,1500
2007-10-18,12.000000,12.000000,12.000000,12.000000,9.582257,300
2007-10-19,11.800000,11.900000,11.800000,11.800000,9.422552,3700
2007-10-22,11.800000,11.800000,11.800000,11.800000,9.422552,0
2007-10-23,11.650000,12.050000,11.650000,11.650000,9.302773,1400
2007-10-24,12.100000,12.100000,11.700000,12.100000,9.662109,3300
2007-10-25,11.900000,11.900000,11.900000,11.900000,9.502403,36500
2007-10-26,12.150000,12.350000,12.150000,12.150000,9.702034,2100
2007-10-29,12.850000,12.850000,12.850000,12.850000,10.261001,4800
2007-10-30,13.150000,13.350000,12.600000,13.150000,10.500556,4800
2007-10-31,13.500000,13.600000,12.900000,13.500000,10.780039,23400
2007-11-01,13.550000,13.750000,13.000000,13.550000,10.819965,101600
2007-11-02,13.600000,13.600000,13.500000,13.600000,10.859892,20000
2007-11-05,13.800000,13.800000,13.300000,13.800000,11.019595,3500
2007-11-06,14.150000,14.200000,13.950000,14.150000,11.299076,18300
2007-11-07,14.350000,14.400000,14.000000,14.350000,11.458782,4800
2007-11-08,14.200000,14.300000,13.750000,14.200000,11.339004,7100
2007-11-09,14.200000,14.200000,14.200000,14.200000,11.339004,0
2007-11-12,13.400000,13.400000,13.400000,13.400000,10.700186,800
2007-11-13,13.900000,13.900000,13.200000,13.900000,11.099446,10000
2007-11-14,14.200000,14.200000,13.500000,14.200000,11.339004,4900
2007-11-15,14.000000,14.000000,13.950000,14.000000,11.179299,3600
2007-11-16,13.800000,13.900000,13.750000,13.800000,11.019595,7500
2007-11-19,13.500000,13.500000,13.500000,13.500000,10.780039,2500
2007-11-20,13.500000,13.650000,13.300000,13.500000,10.780039,3800
2007-11-21,13.500000,13.500000,12.750000,12.750000,10.181147,51300
2007-11-23,12.750000,12.750000,12.750000,12.750000,10.181147,0
2007-11-26,12.550000,12.750000,12.550000,12.550000,10.021443,1000
